domain,n_samples,accuracy,precision,recall,f1_score
1,257,0.7120622568093385,0.7498587570621469,0.7142943670502726,0.7020989974937344
2,260,0.6615384615384615,0.7524038461538461,0.6615384615384615,0.6280642434488588
3,258,0.6705426356589147,0.7048087431693989,0.6689302884615385,0.6548576464848361
