domain,accuracy,precision,recall,f1
1,0.8531746031746031,0.8638496123020786,0.8518145161290323,0.8517151990330635
2,0.7520661157024794,0.7621126760563379,0.7543739748496445,0.7506868131868132
3,0.7602339181286549,0.7611263736263736,0.7600547195622435,0.7599383667180277
