domain,n_samples,accuracy,precision,recall,f1_score
1,200,0.485,0.2425,0.5,0.3265993265993266
2,144,0.5902777777777778,0.7907801418439716,0.5241935483870968,0.4138668506381511
3,128,0.578125,0.6612903225806452,0.5198412698412699,0.4122448979591837
