domain,n_samples,accuracy,precision,recall,f1_score
1,257,0.8054474708171206,0.8143798160576684,0.806420351302241,0.8043782730483497
2,260,0.7384615384615385,0.7725919913419914,0.7384615384615385,0.7300103842159917
3,258,0.810077519379845,0.8204481792717087,0.809375,0.8082773472451812
