domain,accuracy,precision,recall,f1
1,0.8754863813229572,0.8755147771317829,0.8755602665051484,0.875484496124031
2,0.7672413793103449,0.7475155279503105,0.7591869918699187,0.7517241379310344
3,0.7829457364341085,0.7831890331890332,0.7830528846153846,0.7829326923076922
